utterance,tran_raw_2025,final_intent,suggested_intent_status,intent_confidence,needs_review,intent_reason
"how do i find the Washington Post Historical database and then to the Times Digital Archive, 1785-2010 database",tran_raw_2023,databases,overridden,high,FALSE,Asks how to find specific library databases.
"how do i go to Washington Post Historical database and then to the Times Digital Archive, 1785-2010 database",tran_raw_2023,databases,overridden,high,FALSE,Asks how to access specific named databases.
Where do I go for articles for a bibliography,tran_raw_2024,databases,overridden,medium,FALSE,Asks where to search for articles generally.
Where can I find refereed journal articles on this site?,tran_raw_2023,databases,overridden,medium,FALSE,Asks how to find refereed journal articles on library site.
Does the library have access to the APA Psycnet Journal? I'm trying to read an article from there,tran_raw_2023,databases,overridden,high,FALSE,Asks about access to APA PsycNet journal platform.
Where can I find resources relevant to finance?,tran_raw_2023,databases,overridden,medium,FALSE,"Seeks subject resources for finance, likely database guidance."
Where can I find the Web of Science database?,tran_raw_2023,databases,overridden,high,FALSE,Asks for a specific database.
Hello where can I find the web of science database?,tran_raw_2023,databases,overridden,high,FALSE,Asks for a specific database.
Where can I find the PsycInfo database?,tran_raw_2023,databases,overridden,high,FALSE,Asks for a specific database.
where can i find articles ?,tran_raw_2023,databases,overridden,medium,TRUE,"Very broad request for finding articles, likely database guidance."
where can i find journal articles for my teaching / education classes,tran_raw_2023,databases,overridden,high,FALSE,Asks where to find journal articles for a subject area.
how can I find the number of articles that have been written about a topic? I am working on parental involvement in secondary schools.,tran_raw_2023,databases,overridden,medium,FALSE,"Asks how to count articles on a topic, likely database searching."
Does the library have a Bloomberg terminal?,tran_raw_2024,databases,overridden,medium,FALSE,Bloomberg terminal is a specialized information database/resource access question.
"Hey, how can I find editorials and papers with opinion pieces on the library website?",tran_raw_2024,databases,overridden,medium,FALSE,Seeks article type searching on library website/databases.
Does the library have a subscription to www.nationalgeographic.com/ ? We just had a researcher quoted and wanted to access the premium article. Thanks,tran_raw_2024,databases,overridden,medium,FALSE,Asks whether library subscribes to an online publication/platform for premium access.
where can I find the pro and con articles or sources ?,tran_raw_2024,databases,overridden,medium,FALSE,Asks where to find article/source types; likely database recommendation rather than known item lookup.
Where can I find the web of science page?,tran_raw_2024,databases,overridden,high,FALSE,Asks for Web of Science database page.
How can I find information about consumer segments that currently exist within a certain market focus area?,tran_raw_2024,databases,overridden,medium,FALSE,Market consumer segment information likely requires business databases.
where can i find the subject guide,tran_raw_2024,databases,overridden,medium,TRUE,Asks for subject guide location; closest resource guide/database navigation need.
where can I find articles of psychological research done here at miami,tran_raw_2024,databases,overridden,medium,TRUE,"User seeks articles by topic, likely database/research discovery."
"where can I find information on the broad artisanal coffee market, a market overview",tran_raw_2024,databases,overridden,medium,FALSE,Market overview information likely requires database selection.
Where can I find the Oxford English Dictionary?,tran_raw_2025,databases,overridden,high,FALSE,Oxford English Dictionary is an online reference database.
What data bases can I find info on the Miami tribe?,tran_raw_2025,databases,overridden,high,FALSE,Asks which databases to use for topic research.
"Unlikely to be true, but I figure I would ask: Does the library have a subscription to TheInformation.com?",tran_raw_2025,databases,overridden,medium,FALSE,Asks whether library subscribes to a specific online source.
"Where can I find industry reports for 2021? I have tried looking at IBISWorld but cannot figure out how to look at old reports 2021. Please help, this is urgent and I need it for a case interview ASAP. Thank you!",tran_raw_2025,databases,overridden,high,FALSE,Needs help using IBISWorld to find industry reports.
"Does the library have access to the online BRILL collections? I am trying to read some articles in the Czech journal ""Stavba""",tran_raw_2025,databases,overridden,high,FALSE,Asks about access to an online database collection.
where can I find peer reviewed sources,tran_raw_2025,databases,overridden,medium,FALSE,User asks where to find peer-reviewed sources generally.
Does the library have access to the Consumer Reports website?,tran_raw_2025,databases,overridden,high,FALSE,User asks whether library provides access to Consumer Reports database/site.
Where can I find SciVal on the library site?,tran_raw_2025,databases,overridden,high,FALSE,SciVal is a research database/tool on the library site.
need to find a couple sources for a project im working on. where can i find academic peer reviewed journals,tran_raw_2026_5,databases,overridden,medium,FALSE,Seeks where to find peer-reviewed journal sources generally.
How can I find strong journals for a research project?,tran_raw_2026_5,databases,overridden,medium,FALSE,Asks how to find quality journals for research.
where can i find be a review of other studies (no meta analysis or review of literature) for Epidemiological Studies for zika virus,tran_raw_2026_5,databases,overridden,medium,TRUE,"Seeks studies on a topic, likely article database guidance."
Does the library have any peer-reviewed articles/sources about how lasagna in Italy and it's sustainability?,tran_raw_2023,databases,overridden,medium,FALSE,Asks for peer-reviewed articles on a topic.
Is Information Literacy - Core the same as CREDO Instruct?,tran_raw_2023,databases,overridden,medium,FALSE,"Asks about CREDO Instruct/Information Literacy resource identity, a database/platform question."
where is the best place to look up research on fossil fuels?,tran_raw_2023,databases,overridden,medium,FALSE,Asks where to search for research on a topic; likely database recommendation.
How to find research articles,tran_raw_2023,databases,overridden,medium,FALSE,"Asks how to find research articles, likely database/search resource guidance."
"Hi! I need to find the Social Science Citation Index, to find an empirical journal article for a psychology class, I was wondering how to find that?",tran_raw_2023,databases,overridden,high,FALSE,Asks how to find Social Science Citation Index database.
how to find the marketing resouces,tran_raw_2023,databases,overridden,medium,FALSE,Marketing resources likely asks for subject databases or resource guides.
how do i get to an area where i can find peer review journals,tran_raw_2024,databases,overridden,medium,FALSE,"Asks where to find peer-reviewed journals, likely database discovery."
"On the subject guide for biology, where is the list of ""best bet"" for finding appropriate sources?",tran_raw_2024,databases,overridden,medium,TRUE,Asks where subject guide recommends sources; likely database/source-finding guidance.
Do we still have access to Kanopy? Can I use it for class? Where is it?,tran_raw_2025,databases,overridden,medium,FALSE,Asks whether library has access to Kanopy and where to find it.
How do I get to west law and Nexis Uni?,tran_raw_2025,databases,overridden,high,FALSE,Asks how to access Westlaw and Nexis Uni databases.
how do I get to nexis uni,tran_raw_2025,databases,overridden,high,FALSE,Nexis Uni is a database access/navigation request.
how to find academic papers,tran_raw_2025,databases,overridden,medium,FALSE,General request for finding academic papers via article databases.
where is psyctests,tran_raw_2025,databases,overridden,high,FALSE,PsycTESTS is a library database.
How do I get to Articles &amp; More on the libraries website,tran_raw_2025,databases,overridden,medium,FALSE,Articles & More is a database/article search access point.
How do i get to Statista,tran_raw_2026_5,databases,overridden,high,FALSE,Statista is a database.
Where is the google scholar link within the library page now?,tran_raw_2026_5,databases,overridden,medium,FALSE,Asks for Google Scholar link on library page.
how to find research articles through Miami's library,tran_raw_2026_5,databases,overridden,medium,FALSE,General request to find research articles through library databases.
how to find annual reports,tran_raw_2023,databases,overridden,medium,FALSE,Annual reports are typically found through business databases/resources.
What is the best datatbase for finding specific newspaper articles,tran_raw_2023,databases,overridden,high,FALSE,Asks which database to use for finding newspaper articles.
"Does Miami offer anything for getting into ""pitchbook"" without us students having to put down our cards for a free trial?",tran_raw_2023,databases,overridden,high,FALSE,Asks whether Miami provides access to PitchBook database.
"what would be the most efficient search option if I would like to find articles in mainstream news magazines like The Atlantic, New York, etc and major national newspapers?",tran_raw_2024,databases,overridden,medium,FALSE,Asks best search option/database for news magazine articles.
Does BCC Research have anything on the online physician consultation industry?,tran_raw_2024,databases,overridden,high,FALSE,Asks about BCC Research database content on an industry.
Does BCC have anything on the audio visual industry?,tran_raw_2024,databases,overridden,high,FALSE,Asks whether BCC database covers an industry.
"Hi, I'm looking for speeches given by Huey Newton or Bobby Seale, the leaders of the Black Panther Party. Would I be able to find anything in the data base and if so where should I be searching? Thank you",tran_raw_2025,databases,overridden,high,FALSE,Asks which database to search for speeches on a research topic.
"do we have access to any ""people' searches? I work for Advancement and am trying to see if there are any news stories - or anything - about an alum. I have their name and company name.",tran_raw_2025,databases,overridden,medium,TRUE,"Seeks people/news search tools, likely database recommendation beyond newspapers."
"Hi, I'm trying to get set up with the Miami uptodate services. I can't seem to figure it out.",tran_raw_2023,databases,missing,medium,FALSE,"User needs help accessing UpToDate, a library database/resource service."
Do we as students have a free subscription to womens wear daily?,tran_raw_2023,databases,missing,medium,FALSE,Asks whether library provides access to a publication subscription.
"hi!! if i am looking for keywords in specific journals, how do i search for that",tran_raw_2023,databases,missing,medium,FALSE,Asks how to search journals for keywords.
"Subject Guide for the biology major, what is listed as a ""Best Bet"" for finding appropriate resources",tran_raw_2023,databases,missing,medium,FALSE,Asks about best resource listed in a biology subject guide.
how do i find the best bet to find appropriate resources for biology majors,tran_raw_2023,databases,missing,medium,FALSE,"Asks for best resources for biology, implying database/resource recommendations."
Where would I find research/statistics/affects of negative relationships?,tran_raw_2023,databases,missing,medium,FALSE,Seeks research/statistics sources on a topic.
i want to get to srds but i can't find it though here,tran_raw_2023,databases,missing,high,FALSE,SRDS is a database/resource platform the user is trying to access.
how to access fashion snoops,tran_raw_2023,databases,missing,high,FALSE,"Asks how to access Fashion Snoops, a library database/resource platform."
"Hi, im using pubmed to find a research study article and i found this one but it seems to short to beone. https://pubmed.ncbi.nlm.nih.gov/33712380/",tran_raw_2023,databases,missing,medium,FALSE,User is using PubMed and needs help identifying an article within a database.
Does Miami have access to the Vanderbilt University Television news archive?,tran_raw_2023,databases,missing,high,FALSE,Asks whether Miami has access to a specific archive database.
How can I get access to WebofScience?,tran_raw_2023,databases,missing,medium,FALSE,Asks how to access the Web of Science database.
"hi, I was just wondering where I am able to find peer review sources?",tran_raw_2023,databases,missing,medium,FALSE,Asks where to find peer-reviewed sources generally.
where would be the best place to look to find psychographics for a brands target consumer audience?,tran_raw_2023,databases,missing,medium,FALSE,"Asks where to find market/consumer psychographic information, likely database recommendation."
Can I get the link to access fashionsnoops?,tran_raw_2023,databases,missing,high,FALSE,Asks for link to access a named database/resource platform.
how do I access the data bases,tran_raw_2023,databases,missing,high,FALSE,User asks how to access databases.
what is the library access code for axis 360?,tran_raw_2023,databases,missing,medium,TRUE,Asks for access code to a library digital resource; could involve remote access/login.
We are talking about communication with Egypt. Do you have any good intercultural communication sites?,tran_raw_2023,databases,missing,medium,FALSE,"Asks for recommended research sites/resources for a topic, closest to database recommendations."
What library guide falls under Data science? I am trying to find a library guide that can give me access to articles about data monetization.,tran_raw_2023,databases,missing,medium,FALSE,Seeks subject guide/resources for articles on data monetization.
how do I access DNB Hoover,tran_raw_2023,databases,missing,medium,FALSE,Asks how to access a named database/resource.
I am looking for help finding a data base to research how the Vietnamese war is relevant to the contemporary United States,tran_raw_2023,databases,missing,high,FALSE,Asks for help finding a database for a topic.
"Is there a way to narrow down MRI-Simmons Insights by geographical location? For example, would I be able to see demographics for a consumer population within a 30 mile radius of Hamilton?",tran_raw_2023,databases,missing,high,FALSE,Asks how to use MRI-Simmons Insights database features.
"hello i have a question about save option that shows uo next to the article title. If i click it the article is saved in a folder. If i log out will the article be deleted or will it be there, the next time i log into the website?",tran_raw_2023,databases,missing,medium,TRUE,Asks about saved folder behavior in article database platform.
Hello. Do we not have a subscription anymore to Comprehensive Physiology,tran_raw_2023,databases,missing,medium,FALSE,Asks whether library has subscription to a resource.
where I can find pro and con articles,tran_raw_2023,databases,missing,medium,FALSE,Seeks database/source recommendations for pro/con articles.
How do I search for an article that was published in Elsevier Science direct,tran_raw_2023,databases,missing,medium,FALSE,Asks how to search within ScienceDirect database.
How do I link Miami library to google scholar,tran_raw_2023,databases,missing,medium,FALSE,Asks how to connect Google Scholar with library access/resources.
Can you provide me with the link to finance resources?,tran_raw_2023,databases,missing,medium,FALSE,"Asks for subject-specific finance research resources, likely database/resource guide access."
I am looking for three articles apparently available via Wiley Online Library. Two of them originated in the African Journal o f Ecology and one in Zoo Biology. Do we have access to Wiley Online Library via Miami U. library?,tran_raw_2023,databases,missing,high,FALSE,Asks whether library has access to Wiley Online Library database/platform.
Hello out there. I have a caller who wants to know if we have a subscription to Grant Watch? Any idea?,tran_raw_2023,databases,missing,high,FALSE,Asks whether library subscribes to Grant Watch database/resource.
won't let me change limiters,tran_raw_2023,databases,missing,low,TRUE,"Brief troubleshooting about search limiters, likely database interface issue."
do we have resources that is used to analyze a website?,tran_raw_2023,databases,missing,low,TRUE,Asks for resources to analyze a website; tool type is unclear.
Is there a way to find out how many journals are indexed in business source complete and environmental source complete? I cannot locate this information.,tran_raw_2023,databases,missing,high,FALSE,Asks about journal indexing coverage within specific databases.
"A (Finance) student ask me today if we have access to Bloomberg data. I'm not in the Finance Dept so I wasn't sure. I referred him to the library, but was wondering how to answer that in the future. Thanks,",tran_raw_2023,databases,missing,high,FALSE,Asks whether library provides access to Bloomberg data.
"Hi there, does the Miami University library system have a subscription to the Loeb Library?",tran_raw_2023,databases,missing,medium,FALSE,Asks whether library subscribes to Loeb Library database/resource.
I can't find the on-line archive of either the Atlantic or The Nation in the databese.,tran_raw_2023,databases,missing,high,FALSE,User seeks online magazine archives within a database.
How many data bases are listed as being useful for biology research?,tran_raw_2023,databases,missing,high,FALSE,Asks about databases useful for biology research.
is the Web of Science (Core Collection) a good resource for researcgh,tran_raw_2023,databases,missing,high,FALSE,Asks about Web of Science database suitability for research.
Hi! I was wondering how many of the data bases A-Z are listed as helpful for biology research?,tran_raw_2023,databases,missing,high,FALSE,Asks about Databases A-Z for biology research.
How do I access Kanopy?,tran_raw_2023,databases,missing,medium,FALSE,Asks how to access a streaming database.
There are 3 music journals we can't locate an index for an assignment: Current Musicology Women and Music Journal of music theory Can you help us find out if there are indexes for these?,tran_raw_2023,databases,missing,medium,FALSE,Asks whether indexes exist for journals.
where I can find acdamic search complete,tran_raw_2023,databases,missing,high,FALSE,Academic Search Complete is a specific library database.
"is everything in the A-Z data base a ""peer review research article"" if not, where would i find those?",tran_raw_2023,databases,missing,high,FALSE,Asks about database content and finding peer-reviewed articles.
Do Miami students have free access to the US News Rankings website? I would like to be able to access full rankings but did not want to pay $40 for a US News account.,tran_raw_2023,databases,missing,medium,FALSE,Asks whether library provides access to a specific subscription database/resource.
"Is there a way to search an e-journal for a specific word? I what to search a journal called ""Liberal Education"" to see how often the word ""racism"" appears. Can I do that without having to go page by page?",tran_raw_2023,databases,missing,medium,FALSE,Asks how to search within an e-journal platform.
Hello where would be a good place to browse PhD dissertations?,tran_raw_2023,databases,missing,medium,FALSE,Asks where to browse PhD dissertations.
"Good morning, I would like to check if our library has TDM studio or Factiva text mining subscription?",tran_raw_2023,databases,missing,high,FALSE,Asks whether library subscribes to Factiva/TDM Studio databases.
I am looking to find A consumer analysis of Budweiser On Mintel I am having trouble finding brand specific data,tran_raw_2023,databases,missing,high,FALSE,Needs help using Mintel to find brand-specific data.
Is there access to the O Reilley tech book library?,tran_raw_2023,databases,missing,medium,FALSE,Asks whether library provides access to a named ebook database/platform.
I was told I could access the Anatomy Atlas App through the library but I am not sure how to access it.,tran_raw_2023,databases,missing,medium,FALSE,Asks how to access a specific library-provided app/resource.
hi do you know where i could get information on terrismarts compeditors,tran_raw_2023,databases,missing,medium,TRUE,"Seeks competitor/company information, likely requiring business databases; wording is unclear."
how do I access articles as sources for a research,tran_raw_2023,databases,missing,medium,FALSE,"User asks how to access research articles, likely needing article databases."
Does Miami or the business school offer a free subscription for students on Bloomberg's website? I am trying to access an article for a research paper.,tran_raw_2023,databases,missing,medium,FALSE,Asks whether students have Bloomberg subscription access.
I found on Mintel that older hispnaic men like to shop for things that say premium and durable but I seem to not be able to find it again,tran_raw_2023,databases,missing,medium,FALSE,Needs help finding information again within Mintel database.
Does Miami have access to Data Axle?,tran_raw_2023,databases,missing,high,FALSE,Asks whether Miami has access to a named database.
"What are the best resources for interviewing in the supply chain, 3pl info",tran_raw_2023,databases,missing,medium,FALSE,Asks for best resources for business/supply chain information.
how do I access ancestory.com,tran_raw_2023,databases,missing,high,FALSE,Asks how to access a specific library database.
accessing edscohost,tran_raw_2023,databases,missing,medium,TRUE,Brief request about accessing EBSCOhost database.
"hello! i need some information on cerebral palsy, where would you point me?",tran_raw_2023,databases,missing,medium,FALSE,Asks where to look for information on a topic.
are there free scholarly sources,tran_raw_2023,databases,missing,medium,FALSE,Asks broadly about scholarly source access.
I want to find sources about coal fired power plants effect on the environment. Where should I look?,tran_raw_2023,databases,missing,high,FALSE,Asks where to look for sources on a research topic; database/resource recommendation.
where would I find psychology research studies,tran_raw_2023,databases,missing,high,FALSE,Asks where to find psychology research studies.
how do I access ancestry.com,tran_raw_2023,databases,missing,medium,FALSE,Asks how to access Ancestry database.
I need to find research articles for my biopsychology class on THC,tran_raw_2023,databases,missing,medium,FALSE,Needs research articles for a class topic.
Pitchbook Account Creation,tran_raw_2024,databases,missing,medium,FALSE,PitchBook is a database; asks about account creation.
looking for a quick link to start search for research articles,tran_raw_2024,databases,missing,medium,FALSE,"Seeks a link to start searching research articles, likely database discovery."
My professor said in order to access our films we need to watch for class we can go to the library site and have to access the films through Swank Digital Campus. I was wondering where I can access that? Thank you!,tran_raw_2024,databases,missing,high,FALSE,Asks where to access Swank Digital Campus database.
Do we have access to Crain's media? Crain's New York Health Pulse specifically?,tran_raw_2024,databases,missing,high,FALSE,Asks whether library has access to a specific database/publication platform.
How would I find usage rates for trucks(Ford specifically) on Mintel?,tran_raw_2024,databases,missing,high,FALSE,"Asks how to find information within Mintel, a library database."
Is there a Vogue Business subscription through Miami?,tran_raw_2024,databases,missing,medium,FALSE,Asks whether Miami has Vogue Business subscription.
what data bases are good for researching food and food companies and food statistics,tran_raw_2024,databases,missing,high,FALSE,Asks which databases are good for a research topic.
"how can i limit to the ""digital media type""?",tran_raw_2024,databases,missing,medium,TRUE,"Asks about applying a media-type limiter, likely in a database/search interface."
is there a data base strictly for graphs and visual data,tran_raw_2024,databases,missing,high,FALSE,Asks for a database recommendation for graphs and visual data.
Marketing research sites from library that would be helpful to find the demographics and psychographics of Red Bull consumers,tran_raw_2024,databases,missing,high,FALSE,Seeks library marketing research resources for demographics and psychographics.
"I am a graduate student of Miami university. Does Miami University have free access of ""web of science and Scopus"" ?",tran_raw_2024,databases,missing,high,FALSE,Asks whether Miami has access to Web of Science and Scopus.
What is the library source of this document. My group member said one of the Liberians gave her it and I cant find from where. this is the source. https://my.ibisworld.com/us/en/industry/22111e/at-a-glance,tran_raw_2024,databases,missing,medium,FALSE,Asks about identifying source database for IBISWorld document.
Do the Miami libraries give students access to PACER (the federal court records filing system)? Thank you!,tran_raw_2024,databases,missing,high,FALSE,Asks whether libraries provide access to PACER database/system.
looking for peer reviews journal articles about multiple personality disorder,tran_raw_2024,databases,missing,medium,FALSE,Seeking peer-reviewed journal articles on a topic.
Points view and CQ researcher,tran_raw_2024,databases,missing,medium,TRUE,"Mentions specific research databases, but utterance is fragmentary."
Does Miami Libraries subscribe to the Institutional Brokers Estimate Systems (IBES)?,tran_raw_2024,databases,missing,high,FALSE,Asks whether library subscribes to a database.
Does Miami subscribe to the Institutional Brokers Estimate Systems (IBES)?,tran_raw_2024,databases,missing,high,FALSE,Asks whether Miami subscribes to a database.
How to use the nexis uni program to search for relevant cases and statues for my BLS class,tran_raw_2024,databases,missing,high,FALSE,Asks how to use Nexis Uni database for legal searching.
In ART 189 we need to research the cultural aspects of society at the time of our chosen garments time period. What sources would you recommend to get the best information on the early to middle 50s in America?,tran_raw_2024,databases,missing,medium,FALSE,Asks for recommended sources/databases for a course research topic.
I am looking for articles about bullying in school systems.,tran_raw_2024,databases,missing,medium,FALSE,"User seeks articles on a topic, likely database/research article search need."
Where do i go to find relevant legal cases for a paper for BLS 342,tran_raw_2024,databases,missing,high,FALSE,Asks where to find relevant legal cases; likely database/research resource selection.
How do I access the chronicle of higher ed?,tran_raw_2024,databases,missing,medium,FALSE,Asks how to access a specific subscribed publication/database.
I am trying to look at the sales of Pedialyte sold by abbott labs in the last year. Where should I look to potentially find that,tran_raw_2024,databases,missing,medium,FALSE,Needs source/database recommendation for company sales data.
Hello! I am making a short video essay for class on Little Women. I am looking for academic journals but do not know where to start. Is there somewhere I can begin looking?,tran_raw_2024,databases,missing,medium,FALSE,Asks where to begin looking for academic journals.
How can I be connected with someone who can help me with MRI Simmons?,tran_raw_2024,databases,missing,medium,FALSE,MRI Simmons is a database/resource needing help.
How do I get the access to Bloomberg as a finance major?,tran_raw_2024,databases,missing,high,FALSE,Asks how to access Bloomberg database.
could you give me the link to IBIS world,tran_raw_2024,databases,missing,high,FALSE,Requests link to IBISWorld database.
I would like to know the best sources to use on the topic of Leonardo Da Vinci's Madonna of the Rocks piece,tran_raw_2024,databases,missing,medium,FALSE,Asks for best sources to use on a research topic.
I am having trouble finding any industry reports on the industrial mixing industry. Can you help? It seems like all the reports cost thousands of dollars.,tran_raw_2024,databases,missing,medium,FALSE,"Asks for industry reports, likely database resource need."
"Hi, I am looking for a market analysis of athletic shoe brands in the US. I tried IBIS world but they do not have a report specifically on this sector.",tran_raw_2024,databases,missing,medium,FALSE,Needs a market report and mentions database searching.
Do we have access to Fold3 through the library system as a staff member?,tran_raw_2024,databases,missing,high,FALSE,Asks whether library provides access to Fold3 database.
"How do I browse issues of Godey's Lady's Book? I used to get to it through Accessible Archives, but now History Commons looks very different. I am doing research on 19th c. wedding dresses.",tran_raw_2024,databases,missing,high,FALSE,Asks how to browse content in specific databases.
I am trying to figure out how to access Fashion Snoops. I was told by Natalie Reed the director of fashion that instructors can access the digital website thru the library.,tran_raw_2024,databases,missing,high,FALSE,Asks how to access a specific digital library resource.
Do we have access to the British Online Archives or do I need to buy an individual license to access the collection?,tran_raw_2024,databases,missing,high,FALSE,Asks whether library provides access to a specific online database/archive collection.
"Does Miami grant access to ""Global Property Guide""? It is a website that contains property data in different countries.",tran_raw_2024,databases,missing,high,FALSE,Asks whether Miami provides access to a data website/database.
can i get access to the harvard business review through king library,tran_raw_2024,databases,missing,high,FALSE,Asks whether library provides Harvard Business Review access.
"I am having some struggles finding data for a class. How do I find chili market share information in the US? also, how do you properely cite MRI Simmons data? Thank you so much! :)",tran_raw_2024,databases,missing,medium,TRUE,"Primarily needs market data source help, with secondary citation question."
Does Miami University library have access to Morningstar investment research?,tran_raw_2024,databases,missing,high,FALSE,Asks whether library provides access to Morningstar investment research database.
what is the subject guide for biology,tran_raw_2024,databases,missing,medium,TRUE,"Asks for a biology subject guide, likely resource guide rather than liaison."
"I am looking for online journals that have information about the Aztec: their pottery, rituals, and everyday life.",tran_raw_2024,databases,missing,medium,FALSE,Needs online journals/resources on a research topic.
Please remind me how to access SWANK to search for movies,tran_raw_2024,databases,missing,high,FALSE,Asks how to access and search SWANK movie database.
Good morning. I am wanting to search for topics within a particular journal - Journal of Character Education. How might I go about that? Thanks for you help.,tran_raw_2024,databases,missing,medium,FALSE,Asks how to search within a specific journal.
i am trying to figure out how to access west law,tran_raw_2024,databases,missing,medium,FALSE,User asks how to access Westlaw database.
Do students have access to scopus?,tran_raw_2024,databases,missing,high,FALSE,Asks whether students have access to Scopus database.
I have an assignment to complete a rhetorical analysis and we have to find a viewpoint article about aging and my professor told us to go to opposing viewpoints in the library. How do i find this?,tran_raw_2024,databases,missing,high,FALSE,Asks how to find Opposing Viewpoints database.
i need articles on body dysmorphia or body image issues in sports for an english assignment,tran_raw_2024,databases,missing,medium,FALSE,User seeks articles on a topic; likely database/research resource search need.
How can I limit my search to case studies or other specific types of articles?,tran_raw_2024,databases,missing,medium,FALSE,"Asks about limiting article searches by type, likely database search functionality."
how do i access the law encyclopedias,tran_raw_2024,databases,missing,medium,FALSE,Asks how to access a category of reference resources.
Where would I find social mimicry articles,tran_raw_2024,databases,missing,medium,FALSE,Asks where to find articles on a topic.
How do I find that resource that allows me to look at all the different body parts of the human body. Itâs like a digital body that you can play around with and click on different parts,tran_raw_2024,databases,missing,medium,FALSE,Asks for an anatomy database or interactive body resource.
what is the website where i can find research about specific topics by typing in the key words,tran_raw_2024,databases,missing,high,FALSE,Asks for a research search database by keywords.
what is the music data base and where do i find it,tran_raw_2024,databases,missing,high,FALSE,Asks which music database and where to find it.
I have an assignment that wants me to use sources vetted by my librarian. Howver Im confused on how to acces that.,tran_raw_2024,databases,missing,medium,TRUE,"Needs access to librarian-vetted sources, likely library databases or guides."
Do students and faculty have access to Lexicomp online through the library?,tran_raw_2024,databases,missing,high,FALSE,Asks whether library provides access to Lexicomp online.
Which is the best competitor website/source to find information on the who the competition is for Rooted Grounds? It never says with a clear answer who the main competition is so i want to make sure I focus on the right companies.,tran_raw_2024,databases,missing,medium,FALSE,Asks which source or website to use for competitor research.
Where do I find the psych test tab,tran_raw_2024,databases,missing,medium,TRUE,"Likely asking for psychology test database/tab, but wording is brief and ambiguous."
"How do I find online academic articles or information about skills primary education majors need to have, and information about this field?",tran_raw_2024,databases,missing,medium,FALSE,"Asks how to find academic articles and field information, implying database/resource discovery guidance."
how to get to the online articles on the website,tran_raw_2024,databases,missing,medium,FALSE,Asks how to access online articles through library website.
Is thier a website with online library aticles,tran_raw_2024,databases,missing,medium,FALSE,Asks for website/source for online library articles.
How do I acess aritcles on the library website,tran_raw_2024,databases,missing,medium,FALSE,Asks how to access articles on library website.
What are good resources for wellness and personal responsibility?,tran_raw_2024,databases,missing,medium,TRUE,Asks for resources on a topic; likely database/resource recommendations but underspecified.
Where do I go to find academic journals on the library app?,tran_raw_2024,databases,missing,medium,FALSE,"Asks where to find academic journals, likely database/journal search guidance."
Can you accept my request for Factset?,tran_raw_2024,databases,missing,medium,TRUE,"FactSet is a database, but request acceptance/account workflow is unclear."
Is there an Indigenous studies subject guide?,tran_raw_2024,databases,missing,medium,TRUE,"Asks for a subject guide; no dedicated label, closest is resource/database guidance."
Where do I get to statista,tran_raw_2024,databases,missing,high,FALSE,Asks how to get to Statista database.
For my suggested variables to inout into MRI Simmons in the technology attitudes statement isn't showing up,tran_raw_2024,databases,missing,high,FALSE,Problem using MRI Simmons database variables.
How do you find like movie reviews on here?,tran_raw_2024,databases,missing,medium,FALSE,"Asks how to find movie reviews, likely needing database/search resource guidance."
"Do we have access to Taylor &amp; Francis articles on line? I typed in Miami University and they said no - - so, just checking",tran_raw_2024,databases,missing,medium,FALSE,Asks whether library has access to Taylor & Francis online content.
"How to research a company to prepare for an interview? Besides Standard &amp; Poor's, what resources do you recommend? THANKS!",tran_raw_2025,databases,missing,high,FALSE,Requests recommended resources for company research.
Hello! I'm wondering if students have access to Osmosis by Elsevier?,tran_raw_2025,databases,missing,high,FALSE,Asks whether students have access to Osmosis platform.
"Hi, I'm doing research for a book and I'm looking up a number of people for interviews. Google has been hit or miss and I'm trying to avoid shady people lookup sites. Do we have Lexus Nexus or something that I could use for this purpose?",tran_raw_2025,databases,missing,high,FALSE,Seeks database recommendation for people lookup research.
Do we have access to Taylor and Francis online?,tran_raw_2025,databases,missing,high,FALSE,User asks whether the library has access to Taylor & Francis Online.
How do I find the 'Points of View Reference Source'?,tran_raw_2025,databases,missing,high,FALSE,Asks how to find a named database.
where can i access Kanopy,tran_raw_2025,databases,missing,medium,FALSE,"Asks where to access Kanopy, a library streaming database."
where do i find the lists of the video sites where i can try to find a movie that i need to watch for class?,tran_raw_2025,databases,missing,medium,FALSE,Asks for list of video sites/databases to find a movie.
am i able to access the Loeb Classical Library online,tran_raw_2025,databases,missing,high,FALSE,Asks whether an online library database/resource is available.
"what data base should I use when looking for sources on financial adulting? This could include taxes, loans, credit scores, and etc. for college students",tran_raw_2025,databases,missing,high,FALSE,Asks which database to use for sources on a topic.
"I am interested in Italian citizenship and so I believe I need access to genealogy records, it is offered at my home library, is it offered here?",tran_raw_2025,databases,missing,medium,FALSE,Asks whether library offers access to genealogy records/database.
What is a good source to find the amount universities spend a year on utilities,tran_raw_2025,databases,missing,medium,FALSE,Asks for a good source/database to find university utility spending information.
Looking for the web of science instructional video...,tran_raw_2025,databases,missing,medium,FALSE,Looking for instructional material for Web of Science database.
"Hello, I have to search for 2 scientific academic journals for a psychology course. However, I don't know where to start.",tran_raw_2025,databases,missing,medium,FALSE,Needs starting point for finding scholarly psychology journals.
How to search law cases in west law or nexis?,tran_raw_2025,databases,missing,high,FALSE,Asks how to search legal databases Westlaw or Nexis.
